Epoch,Time,Loss,ACC
[3][18/88],8.982,0.119,0.980
[3][19/88],9.568,0.327,0.940
[3][20/88],10.817,0.441,0.840
[3][21/88],11.023,0.251,0.920
[3][22/88],10.354,0.304,0.880
[3][23/88],11.120,0.368,0.940
[3][24/88],10.802,0.454,0.900
[3][25/88],9.749,0.384,0.900
[3][26/88],11.064,0.489,0.880
[3][27/88],10.551,0.296,0.880
[3][28/88],11.627,0.188,0.900
[3][29/88],10.885,0.597,0.840
[3][30/88],11.133,0.307,0.920
[3][31/88],9.608,0.380,0.840
[3][32/88],10.592,0.367,0.900
[3][33/88],11.899,0.500,0.820
[3][34/88],9.519,0.399,0.920
[3][35/88],11.517,0.287,0.900
[3][36/88],10.966,0.247,0.900
[3][37/88],10.695,0.211,0.940
[3][38/88],11.437,0.344,0.880
[3][39/88],12.589,0.389,0.880
[3][40/88],11.591,0.195,0.920
[3][41/88],10.592,0.475,0.880
[3][42/88],10.581,0.201,0.920
[3][43/88],11.477,0.255,0.920
[3][44/88],10.812,0.445,0.840
[3][45/88],11.106,0.232,0.920
[3][46/88],10.649,0.161,0.960
[3][47/88],12.105,0.288,0.900
[3][48/88],11.456,0.173,0.960
[3][49/88],11.871,0.180,0.980
[3][50/88],10.784,0.277,0.900
[3][51/88],11.596,0.295,0.900
[3][52/88],10.988,0.224,0.920
[3][53/88],11.530,0.425,0.880
[3][54/88],11.441,0.293,0.840
[3][55/88],11.934,0.328,0.900
[3][56/88],10.852,0.221,0.940
[3][57/88],11.184,0.289,0.900
[3][58/88],11.235,0.419,0.880
[3][59/88],11.043,0.108,0.980
[3][60/88],12.031,0.619,0.820
[3][61/88],11.178,0.257,0.920
[3][62/88],11.323,0.403,0.880
[3][63/88],10.476,0.264,0.840
[3][64/88],11.260,0.564,0.820
[3][65/88],12.417,0.254,0.920
[3][66/88],11.435,0.359,0.860
[3][67/88],11.623,0.329,0.880
[3][68/88],11.246,0.413,0.880
[3][69/88],11.343,0.310,0.820
[3][70/88],11.322,0.348,0.900
[3][71/88],11.723,0.341,0.860
[3][72/88],12.250,0.287,0.900
[3][73/88],12.606,0.228,0.940
[3][74/88],11.313,0.465,0.820
[3][75/88],10.526,0.431,0.900
[3][76/88],12.319,0.392,0.880
[3][77/88],10.215,0.242,0.900
[3][78/88],11.682,0.334,0.900
[3][79/88],12.572,0.284,0.880
[3][80/88],11.923,0.385,0.900
[3][81/88],12.319,0.364,0.860
[3][82/88],12.277,0.135,0.960
[3][83/88],12.023,0.138,0.980
[3][84/88],11.931,0.381,0.880
[3][85/88],11.587,0.347,0.920
[3][86/88],11.523,0.194,0.960
[3][87/88],12.676,0.139,0.960
[3][88/88],0.920,1.401,0.750
[4][1/88],9.490,0.342,0.920
[4][2/88],9.901,0.409,0.860
[4][3/88],9.282,0.385,0.880
[4][4/88],9.577,0.223,0.960
[4][5/88],8.734,0.316,0.880
[4][6/88],11.390,0.183,0.940
[4][7/88],9.640,0.375,0.860
[4][8/88],10.787,0.371,0.880
[4][9/88],9.463,0.228,0.920
[4][10/88],10.940,0.408,0.860
[4][11/88],10.239,0.306,0.880
[4][12/88],9.988,0.264,0.940
[4][13/88],9.999,0.522,0.940
[4][14/88],10.052,0.106,1.000
[4][15/88],9.550,0.189,0.920
[4][16/88],9.373,0.424,0.880
[4][17/88],9.594,0.329,0.940
[4][18/88],10.399,0.246,0.880
[4][19/88],11.240,0.134,0.980
[4][20/88],11.335,0.424,0.840
[4][21/88],11.028,0.390,0.900
[4][22/88],10.638,0.244,0.920
[4][23/88],10.955,0.148,0.960
[4][24/88],9.993,0.286,0.900
[4][25/88],9.741,0.279,0.960
[4][26/88],10.906,0.182,0.940
[4][27/88],10.071,0.324,0.880
[4][28/88],10.801,0.525,0.900
[4][29/88],10.484,0.359,0.860
[4][30/88],11.458,0.330,0.860
[4][31/88],11.369,0.277,0.940
[4][32/88],10.046,0.264,0.920
[4][33/88],9.411,0.169,0.960
[4][34/88],10.677,0.237,0.940
[4][35/88],10.360,0.296,0.860
[4][36/88],11.529,0.302,0.880
[4][37/88],10.971,0.184,0.900
[4][38/88],11.489,0.124,0.960
[4][39/88],11.379,0.109,0.940
[4][40/88],11.542,0.353,0.840
[4][41/88],10.598,0.259,0.920
[4][42/88],10.981,0.238,0.880
[4][43/88],9.417,0.339,0.880
